age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
[17.00-81.00],[ ?- Without-pay],77516,[ 10th- Some-college],13,[ Divorced- Widowed],[ ?- Transport-moving], Not-in-family,[ Amer-Indian-Eskimo- White],[ Female- Male],2174,0,40,[ ?- Yugoslavia], <=50K
[17.00-90.00],[ ?- Self-emp-not-inc],83311,[ 10th- Some-college],13,[ Divorced- Widowed],[ ?- Transport-moving], Husband,[ Black- White],[ Male- Male],0,0,13,[ ?- Yugoslavia], <=50K
[17.00-90.00],[ ?- Self-emp-not-inc],215646,[ 10th- Some-college],9,[ Divorced- Widowed],[ ?- Transport-moving], Not-in-family,[ Black- White],[ Male- Male],0,0,40,[ ?- Yugoslavia], <=50K
[17.00-81.00],[ ?- Without-pay],234721,[ 10th- Some-college],7,[ Divorced- Widowed],[ ?- Transport-moving], Husband,[ Amer-Indian-Eskimo- White],[ Female- Male],0,0,40,[ ?- Yugoslavia], <=50K
[17.00-90.00],[ ?- Without-pay],338409,[ 10th- Some-college],13,[ Divorced- Widowed],[ ?- Transport-moving], Wife,[ Amer-Indian-Eskimo- White],[ Female- Female],0,0,40,[ ?- Yugoslavia], <=50K
[17.00-90.00],[ ?- Without-pay],284582,[ 10th- Some-college],14,[ Divorced- Widowed],[ ?- Transport-moving], Wife,[ Amer-Indian-Eskimo- White],[ Female- Female],0,0,40,[ ?- Yugoslavia], <=50K
[17.00-90.00],[ ?- Without-pay],160187,[ 10th- Some-college],5,[ Divorced- Widowed],[ ?- Transport-moving], Not-in-family,[ Amer-Indian-Eskimo- White],[ Female- Female],0,0,16,[ ?- Yugoslavia], <=50K
[17.00-90.00],[ ?- Self-emp-not-inc],209642,[ 10th- Some-college],9,[ Divorced- Widowed],[ ?- Transport-moving], Husband,[ Black- White],[ Male- Male],0,0,45,[ ?- Yugoslavia], >50K
[17.00-90.00],[ ?- Without-pay],45781,[ 10th- Some-college],14,[ Divorced- Widowed],[ ?- Transport-moving], Not-in-family,[ Amer-Indian-Eskimo- White],[ Female- Female],14084,0,50,[ ?- Yugoslavia], >50K
[17.00-90.00],[ ?- Self-emp-not-inc],159449,[ 10th- Some-college],13,[ Divorced- Widowed],[ ?- Transport-moving], Husband,[ Black- White],[ Male- Male],5178,0,40,[ ?- Yugoslavia], >50K
[20.00-90.00],[ ?- State-gov],280464,[ 10th- Some-college],10,[ Divorced- Widowed],[ ?- Transport-moving], Husband,[ Amer-Indian-Eskimo- Black],[ Male- Male],0,0,80,[ China- Vietnam], >50K
