age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
17,[ Local-gov -  Private],121425,[ 10th -  11th],7, Never-married,[ Adm-clerical -  Sales], Own-child, White, Female,0,0,16, United-States, <=50K
17,[ Local-gov -  Private],39815,[ 10th -  11th],6, Never-married,[ Adm-clerical -  Sales], Own-child, White, Female,0,0,25, United-States, <=50K
17,[ Local-gov -  Private],127366,[ 10th -  11th],7, Never-married,[ Adm-clerical -  Sales], Own-child, White, Female,0,0,8, United-States, <=50K
17, Private,143331,[ 10th -  11th],6, Never-married, Sales, Own-child, White, Male,0,0,15, United-States, <=50K
17, Private,277112,[ 10th -  11th],7, Never-married, Sales, Own-child, White, Male,0,0,30, United-States, <=50K
17,[ ? -  Local-gov],48703, 11th,7, Never-married,[ ? -  Other-service], Own-child, White, Female,0,0,30, United-States, <=50K
17,[ ? -  Local-gov],182070, 11th,7, Never-married,[ ? -  Other-service], Own-child, White, Female,0,0,16, United-States, <=50K
17, Private,24090,[ 11th -  HS-grad],9, Never-married,[ Exec-managerial -  Other-service], Own-child, White,[ Female -  Male],0,0,35, United-States, <=50K
17, Private,265657,[ 11th -  HS-grad],7, Never-married,[ Exec-managerial -  Other-service], Own-child, White,[ Female -  Male],0,0,25, United-States, <=50K
17, Private,159849,[ 11th -  9th],7, Never-married,[ Other-service -  Protective-serv], Own-child, White,[ Female -  Male],0,0,30, United-States, <=50K
17, Private,211870,[ 11th -  9th],5, Never-married,[ Other-service -  Protective-serv], Not-in-family, White,[ Female -  Male],0,0,6, United-States, <=50K
17, Private,160118,[ 10th -  12th],8, Never-married,[ Other-service -  Sales], Not-in-family, White, Female,0,0,10,[ ? -  United-States], <=50K
17, Private,31007,[ 10th -  12th],6, Never-married,[ Other-service -  Sales], Own-child, White, Female,0,0,30,[ ? -  United-States], <=50K
17, Private,52486, 11th,7, Never-married,[ Other-service -  Sales], Own-child, White,[ Female -  Male],0,0,12, United-States, <=50K
17, Private,143331, 11th,7, Never-married,[ Other-service -  Sales], Own-child, White,[ Female -  Male],0,0,20, United-States, <=50K
17,[ Local-gov -  Private],134480,[ 10th -  11th],7, Never-married,[ Priv-house-serv -  Protective-serv], Own-child, White, Female,0,0,25, United-States, <=50K
17,[ Local-gov -  Private],170916,[ 10th -  11th],6, Never-married,[ Priv-house-serv -  Protective-serv], Own-child, White, Female,0,1602,40, United-States, <=50K
17, Private,200199,[ 11th -  12th],7, Never-married, Sales, Own-child, White,[ Female -  Male],0,0,35, United-States, <=50K
17, Private,151141,[ 11th -  12th],8, Never-married, Sales, Own-child, White,[ Female -  Male],0,0,20, United-States, <=50K
17,[ ? -  Self-emp-not-inc],228786, 10th,6, Never-married,[ ? -  Other-service], Own-child, White,[ Female -  Male],0,0,24, United-States, <=50K
